subject,file,lineno,MLOC,experience-based,statistics-based,tuning machine
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\listen.py,34,8,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\listen.py,44,41,1,1,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\listen.py,90,9,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\listen.py,111,5,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\listen.py,118,5,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\psk.py,103,4,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\psk.py,109,4,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,10,2,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,14,1,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,17,1,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,20,1,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,23,1,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,26,1,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,29,7,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,40,6,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,51,2,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,55,2,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,59,1,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,62,13,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,79,1,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,82,1,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,85,7,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,95,2,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,99,5,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,106,5,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\quietnet.py,113,9,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\send.py,20,14,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\send.py,44,2,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\notebooks\capture_audio.py,6,11,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\notebooks\capture_audio.py,26,2,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\notebooks\test.py,21,1,0,0,0
quietnet,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\quietnet\notebooks\test.py,26,4,0,0,0
