subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\setup.py,14,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\setup.py,53,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\setup.py,71,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,120,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,136,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,166,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,167,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,178,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,191,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,197,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,202,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,215,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,220,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,221,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,221,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,225,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,227,2,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,229,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,244,2,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,254,2,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,275,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,287,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,294,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,382,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,392,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,427,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,438,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,530,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,536,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,541,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,546,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,551,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,555,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,559,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,586,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,602,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,605,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,606,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,613,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,614,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,616,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,635,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,647,2,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,678,2,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,693,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,696,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,696,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,733,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,734,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,735,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,890,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,891,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,892,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,942,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,948,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,950,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,977,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,985,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,990,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,998,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1006,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1025,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1025,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1030,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1030,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1031,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1062,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1081,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1084,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1093,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1094,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1141,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1148,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1155,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1162,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1183,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1196,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1197,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1202,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1207,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1208,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1213,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1214,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1215,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1216,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1217,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1218,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1223,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1224,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1230,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1239,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1240,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1248,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1250,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1254,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1255,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1260,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1271,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1296,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1306,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1308,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1319,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1351,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1363,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1464,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1472,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1480,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1488,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1501,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1509,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1586,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1586,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1606,,2,1,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1620,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1626,1,,,0,0,0
requests,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\requests\test_requests.py,1632,,3,1,0,0,0
