subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\conftest.py,33,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\setup.py,22,,2,1,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\conf.py,193,,2,1,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\_ext\scrapydocs.py,21,2,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\_ext\scrapydocs.py,28,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\_ext\scrapydocs.py,33,2,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\_ext\scrapydocs.py,58,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\_ext\scrapydocs.py,59,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\_ext\scrapydocs.py,60,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\_ext\scrapydocs.py,77,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\_ext\scrapydocs.py,117,,2,1,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\_ext\scrapydocs.py,123,,2,1,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\_ext\scrapydocs.py,129,,2,1,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\docs\_ext\scrapydocs.py,135,,2,1,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\extras\qps-bench-server.py,44,2,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\extras\qpsclient.py,50,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\cmdline.py,31,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\cmdline.py,32,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\cmdline.py,40,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\cmdline.py,48,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\cmdline.py,55,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\cmdline.py,57,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\cmdline.py,64,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\cmdline.py,133,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\cmdline.py,139,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\crawler.py,35,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\crawler.py,44,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\crawler.py,218,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\crawler.py,225,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\exporters.py,72,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\exporters.py,73,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\exporters.py,154,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\exporters.py,188,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\extension.py,15,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\extension.py,16,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\item.py,36,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\item.py,38,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\item.py,38,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\item.py,40,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\item.py,41,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\item.py,53,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\item.py,56,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\item.py,60,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\item.py,66,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\logformatter.py,36,,2,1,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\logformatter.py,52,,2,1,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\logformatter.py,62,,2,1,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\mail.py,42,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\mail.py,42,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\mail.py,42,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\mail.py,43,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\mail.py,51,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\mail.py,52,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\mail.py,53,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\mail.py,54,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\mail.py,55,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\mail.py,58,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\middleware.py,59,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\middleware.py,61,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\middleware.py,64,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\middleware.py,67,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\middleware.py,70,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\middleware.py,71,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\resolver.py,18,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\resolver.py,26,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\responsetypes.py,40,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\responsetypes.py,47,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\responsetypes.py,49,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\responsetypes.py,57,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\responsetypes.py,74,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\responsetypes.py,78,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\responsetypes.py,94,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,37,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,108,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,118,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,119,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,120,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,121,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,122,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,123,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,124,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,126,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,127,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,128,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\shell.py,131,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\spiderloader.py,26,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\statscollectors.py,23,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\statscollectors.py,30,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\statscollectors.py,33,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\statscollectors.py,36,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\statscollectors.py,61,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\telnet.py,47,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\_monkeypatches.py,4,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\commands\check.py,62,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\commands\check.py,63,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\commands\check.py,81,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\commands\crawl.py,42,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\commands\crawl.py,55,1,,,0,0,0
scrapy,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\scrapy\scrapy\commands\edit.py,28,1,,,0,0,0
