subject,file,lineno,LMC,experience-based,statistics-based,tuning machine
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\conftest.py,10,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\conftest.py,10,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\conftest.py,10,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,51,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,51,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,51,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,52,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,137,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,161,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,163,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,175,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,193,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,194,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,240,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,240,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,254,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,259,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,263,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\setup.py,288,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,14,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,14,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,15,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,29,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,56,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,64,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,65,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,122,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,123,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,126,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,127,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,131,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\generator.py,154,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\api-docs\sentry.conf.py,31,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\docs\conf.py,17,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\docs\conf.py,17,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\docs\conf.py,17,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\docs\conf.py,18,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\docs\conf.py,18,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\docs\conf.py,18,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\docs\conf.py,239,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\docs\conf.py,240,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\docs\conf.py,240,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\admin.py,33,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\admin.py,49,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\admin.py,59,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\admin.py,98,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\admin.py,107,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\admin.py,117,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\admin.py,139,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\admin.py,146,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\admin.py,152,2,0,0,0
sentry,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sentry\src\sentry\admin.py,154,2,0,0,0
