subject,file,lineno,MLOC,experience-based,statistics-based,tuning machine
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\setup.py,30,11,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,160,4,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,169,12,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,188,11,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,206,5,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,222,6,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,239,4,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,245,12,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,260,15,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,265,7,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,276,6,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,300,8,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,310,11,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,325,15,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,330,7,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,341,6,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,362,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,373,34,1,1,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,414,66,1,1,1
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,495,29,1,1,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,534,3,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,544,1,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,550,174,1,1,1
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,788,4,0,0,0
