subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\constants.py,4,,2,1,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\tools.py,17,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\tools.py,86,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\httpproxy.py,90,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\httpproxy.py,91,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\warequest.py,55,2,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\warequest.py,56,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\warequest.py,60,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,28,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,52,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,60,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,60,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,62,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,66,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,67,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,67,2,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,68,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,69,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,76,,2,1,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,78,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,86,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,91,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,95,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,99,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,101,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,119,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,126,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,129,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,135,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,141,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,164,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\common\http\waresponseparser.py,164,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,35,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,36,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,37,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,46,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,48,2,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,49,2,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,50,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,50,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,78,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,80,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,81,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,81,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,82,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,86,1,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,93,2,,,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,93,1,,,0,0,0
