subject,tag,file,lineno,NOC,PAR,NOO
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\concurrent.py,374,38,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\concurrent.py,434,47,1,4
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\curl_httpclient.py,322,31,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,212,38,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,584,20,1,3
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,746,51,1,4
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,751,51,1,4
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,770,25,0,4
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,963,18,1,3
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\http1connection.py,683,18,1,3
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\ioloop.py,436,24,1,3
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\ioloop.py,584,47,1,5
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\iostream.py,387,21,1,3
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\iostream.py,1155,36,0,4
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\iostream.py,1336,11,0,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\locks.py,134,46,1,4
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\locks.py,376,46,1,4
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\log.py,238,37,0,3
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\options.py,309,24,1,2
