subject,file,lineno,PAR,experience-based,statistics-based,tuning machine,<A>,<B>,manual inspection
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\usersync\base.py,15,1,0,0,0,0,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\ajenti\usersync\pam.py,99,4,0,1,0,0,0,0
ajenti,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ajenti\docs\source\conf.py,57,6,1,1,1,1,1,1
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atcd\atcd\AtcdThriftHandlerTask.py,493,5,1,1,1,1,0,1
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atcd\atcd\backends\linux.py,443,5,1,1,1,1,1,1
aws-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\aws-cli\awscli\argprocess.py,90,4,0,1,0,1,1,1
beets,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beets\beets\art.py,192,3,0,0,0,0,0,0
beets,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beets\beets\importer.py,180,5,1,1,1,1,1,1
beets,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beets\beets\importer.py,338,1,0,0,0,0,0,0
big-list-of-naughty-strings,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\big-list-of-naughty-strings\naughtystrings\__init__.py,9,0,0,0,0,0,0,0
boto,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\boto\boto\auth.py,132,4,0,1,0,0,0,0
boto,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\boto\boto\auth.py,900,5,1,1,1,1,1,1
boto,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\boto\boto\connection.py,664,5,1,1,1,1,1,1
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,537,6,1,1,1,1,1,1
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,915,1,0,0,0,0,0,0
chisel,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\chisel\fblldb.py,41,5,1,1,1,1,1,1
chisel,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\chisel\fblldbviewcontrollerhelpers.py,32,4,0,1,0,0,0,0
chisel,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\chisel\commands\FBComponentCommands.py,59,3,0,0,0,0,0,0
compose,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\compose\tests\unit\config\config_test.py,1290,1,0,0,0,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\contrib\linode\provision-linode-cluster.py,173,5,1,1,1,1,1,1
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\contrib\linode\provision-linode-cluster.py,327,5,1,1,1,1,1,1
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,36,6,1,1,1,1,1,1
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\sftp.py,232,8,1,1,1,1,1,1
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\sftp.py,294,7,1,1,1,1,1,1
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\tasks.py,213,8,1,1,1,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\cli.py,171,0,0,0,0,0,0,0
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter.py,63,6,1,1,1,1,1,1
